"id","date_scraped","symbol","last_price","price_change","change_percentage","market_time","volume","avgvol","market_cap"
19,"2021-02-12","AMD","92.82","+0.15","+0.17%","9:56AM EST","4.544M","42.946M","112.453B"
20,"2021-02-12","CVS","74.51","+0.92","+1.24%","9:56AM EST","662.789k","7.506M","97.536B"
21,"2021-02-12","GOOG","2,095.37","-0.52","-0.02%","9:56AM EST","107.282k","1.573M","1.41T"
22,"2021-02-12","HAS","90.38","-0.27","-0.30%","9:55AM EST","58,325","902,617","12.384B"
23,"2021-02-12","IBM","120.68","-0.23","-0.19%","9:56AM EST","356.887k","6.252M","107.533B"
24,"2021-02-12","INTC","60.59","-0.07","-0.12%","9:56AM EST","2.480M","39.792M","246.137B"
25,"2021-02-12","MSFT","243.15","-1.34","-0.55%","9:56AM EST","1.662M","28.225M","1.834T"
26,"2021-02-12","NVDA","602.75","-7.28","-1.19%","9:56AM EST","1.352M","7.365M","373.102B"
27,"2021-02-12","SNE","112.97","-1.00","-0.88%","9:56AM EST","101,861","1.03M","140.434B"
28,"2021-02-12","AMD","92.85","+0.19","+0.21%","9:57AM EST","4.628M","42.946M","112.532B"
29,"2021-02-12","CVS","74.50","+0.90","+1.22%","9:57AM EST","671,030","7.506M","97.514B"
30,"2021-02-12","GOOG","2,095.93","+0.04","0.00%","9:57AM EST","108.660k","1.573M","1.41T"
31,"2021-02-12","HAS","90.42","-0.23","-0.25%","9:57AM EST","58,824","902,617","12.39B"
32,"2021-02-12","IBM","120.64","-0.27","-0.22%","9:57AM EST","362.887k","6.252M","107.52B"
33,"2021-02-12","INTC","60.58","-0.08","-0.13%","9:57AM EST","2.505M","39.792M","246.055B"
34,"2021-02-12","MSFT","243.22","-1.27","-0.52%","9:57AM EST","1.685M","28.225M","1.834T"
35,"2021-02-12","NVDA","602.38","-7.65","-1.25%","9:57AM EST","1.369M","7.365M","372.807B"
36,"2021-02-12","SNE","112.97","-1.00","-0.88%","9:56AM EST","102.032k","1.03M","140.434B"
37,"2021-02-12","AMD","93.77","+1.11","+1.20%","4:00PM EST","37.338M","42.946M","113.585B"
38,"2021-02-12","CVS","74.21","+0.61","+0.83%","4:00PM EST","5.656M","7.506M","97.134B"
39,"2021-02-12","GOOG","2,104.11","+8.22","+0.39%","4:00PM EST","827,959","1.573M","1.416T"
40,"2021-02-12","HAS","91.48","+0.83","+0.92%","4:00PM EST","708,463","902,617","12.535B"
41,"2021-02-12","IBM","120.80","-0.11","-0.09%","4:00PM EST","3.551M","6.252M","107.64B"
42,"2021-02-12","INTC","61.81","+1.15","+1.90%","4:00PM EST","25.264M","39.792M","251.134B"
43,"2021-02-12","MSFT","244.99","+0.50","+0.20%","4:00PM EST","15.291M","28.225M","1.848T"
44,"2021-02-12","NVDA","598.45","-11.58","-1.90%","4:00PM EST","9.011M","7.365M","370.441B"
45,"2021-02-12","SNE","113.53","-0.44","-0.39%","4:00PM EST","550,261","1.03M","141.13B"
55,"2021-02-13","AMD","93.77","+1.11","+1.20%","4:00PM EST","38.538M","42.967M","113.585B"
56,"2021-02-13","CVS","74.21","+0.61","+0.83%","4:00PM EST","5.656M","7.502M","97.134B"
57,"2021-02-13","GOOG","2,104.11","+8.22","+0.39%","4:00PM EST","855,865","1.567M","1.415T"
58,"2021-02-13","HAS","91.48","+0.83","+0.92%","4:00PM EST","717,327","902,885","12.535B"
59,"2021-02-13","IBM","120.80","-0.11","-0.09%","4:00PM EST","3.88M","6.209M","107.64B"
60,"2021-02-13","INTC","61.81","+1.15","+1.90%","4:00PM EST","25.264M","39.523M","251.134B"
61,"2021-02-13","MSFT","244.99","+0.50","+0.20%","4:00PM EST","16.561M","28.144M","1.848T"
62,"2021-02-13","NVDA","598.45","-11.58","-1.90%","4:00PM EST","9.369M","7.369M","370.441B"
63,"2021-02-13","SNE","113.53","-0.44","-0.39%","4:00PM EST","550,261","1.019M","139.813B"
