"id","date_scraped","symbol","last_price","price_change","change_percentage","market_time","volume","avgvol","market_cap"
55,"2021-02-13","AMD","93.77","+1.11","+1.20%","4:00PM EST","38.538M","42.967M","113.585B"
56,"2021-02-13","CVS","74.21","+0.61","+0.83%","4:00PM EST","5.656M","7.502M","97.134B"
57,"2021-02-13","GOOG","2,104.11","+8.22","+0.39%","4:00PM EST","855,865","1.567M","1.415T"
58,"2021-02-13","HAS","91.48","+0.83","+0.92%","4:00PM EST","717,327","902,885","12.535B"
59,"2021-02-13","IBM","120.80","-0.11","-0.09%","4:00PM EST","3.88M","6.209M","107.64B"
60,"2021-02-13","INTC","61.81","+1.15","+1.90%","4:00PM EST","25.264M","39.523M","251.134B"
61,"2021-02-13","MSFT","244.99","+0.50","+0.20%","4:00PM EST","16.561M","28.144M","1.848T"
62,"2021-02-13","NVDA","598.45","-11.58","-1.90%","4:00PM EST","9.369M","7.369M","370.441B"
63,"2021-02-13","SNE","113.53","-0.44","-0.39%","4:00PM EST","550,261","1.019M","139.813B"
64,"2021-02-13","AMD","93.77","+1.11","+1.20%","4:00PM EST","38.538M","42.967M","113.585B"
65,"2021-02-13","CVS","74.21","+0.61","+0.83%","4:00PM EST","5.656M","7.502M","97.134B"
66,"2021-02-13","GOOG","2,104.11","+8.22","+0.39%","4:00PM EST","855,865","1.567M","1.415T"
67,"2021-02-13","HAS","91.48","+0.83","+0.92%","4:00PM EST","717,327","902,885","12.535B"
68,"2021-02-13","IBM","120.80","-0.11","-0.09%","4:00PM EST","3.88M","6.209M","107.64B"
69,"2021-02-13","INTC","61.81","+1.15","+1.90%","4:00PM EST","25.264M","39.523M","251.134B"
70,"2021-02-13","MSFT","244.99","+0.50","+0.20%","4:00PM EST","16.561M","28.144M","1.848T"
71,"2021-02-13","NVDA","598.45","-11.58","-1.90%","4:00PM EST","9.369M","7.369M","370.441B"
72,"2021-02-13","SNE","113.53","-0.44","-0.39%","4:00PM EST","550,261","1.019M","139.813B"
