"id","date_scraped","symbol","last_price","price_change","change_percentage","market_time","volume","avgvol","market_cap"
1,"2021-02-12",AMD,"92.66",+0.31,+0.34%,"4:00PM EST","35.571M","43.093M","112.241B"
2,"2021-02-12",CVS,"73.60",-0.23,-0.31%,"4:00PM EST","4.29M","7.585M","96.336B"
3,"2021-02-12",GOOG,"2,095.89",+0.51,+0.02%,"4:00PM EST","945,650","1.578M","1.41T"
4,"2021-02-12",HAS,"90.65",-1.64,-1.78%,"4:00PM EST","1.069M","901,217","12.421B"
5,"2021-02-12",IBM,"120.91",-1.33,-1.09%,"4:00PM EST","5.382M","6.234M","107.738B"
6,"2021-02-12",INTC,"60.66",+1.80,+3.06%,"4:00PM EST","27.539M","39.856M","246.462B"
7,"2021-02-12",MSFT,"244.49",+1.67,+0.69%,"4:00PM EST","15.294M","28.446M","1.844T"
8,"2021-02-12",NVDA,"610.03",+19.46,+3.30%,"4:00PM EST","11.271M","7.347M","377.609B"
9,"2021-02-12",SNE,"113.97",+0.66,+0.58%,"4:00PM EST","466,508","1.044M","141.7B"
10,"2021-02-12",AMD,"92.26",-0.40,-0.43%,"9:31AM EST","733.678k","42.946M","111.575B"
11,"2021-02-12",CVS,"74.06",+0.46,+0.62%,"9:32AM EST","123.228k","7.506M","96.938B"
12,"2021-02-12",GOOG,"2,086.23",-9.66,-0.46%,"9:32AM EST","34.385k","1.573M","1.403T"
13,"2021-02-12",HAS,"90.52",-0.13,-0.14%,"9:31AM EST","14,545","902,617","12.403B"
14,"2021-02-12",IBM,"121.00",+0.09,+0.07%,"9:31AM EST","95.626k","6.252M","107.675B"
15,"2021-02-12",INTC,"60.78",+0.12,+0.20%,"9:31AM EST","610.260k","39.792M","246.665B"
16,"2021-02-12",MSFT,"244.39",-0.10,-0.04%,"9:31AM EST","459.647k","28.225M","1.84T"
17,"2021-02-12",NVDA,"604.34",-5.69,-0.93%,"9:31AM EST","297.653k","7.365M","372.743B"
18,"2021-02-12",SNE,"113.07",-0.90,-0.79%,"9:31AM EST","65.462k","1.03M","140.471B"
